iter	Passed	Remaining
700	4474	312
701	4480	306
702	4487	300
703	4494	293
704	4501	287
705	4508	280
706	4515	274
707	4522	268
708	4529	261
709	4536	255
710	4543	249
711	4550	242
712	4556	236
713	4563	230
714	4571	223
715	4578	217
716	4585	211
717	4594	204
718	4601	198
719	4608	192
720	4615	185
721	4622	179
722	4628	172
723	4636	166
724	4643	160
725	4650	153
726	4657	147
727	4664	140
728	4670	134
729	4677	128
730	4683	121
731	4690	115
732	4697	108
733	4704	102
734	4711	96
735	4716	89
736	4724	83
737	4730	76
738	4738	70
739	4745	64
740	4751	57
741	4758	51
742	4765	44
743	4772	38
744	4779	32
745	4787	25
746	4794	19
747	4801	12
748	4808	6
749	4815	0
