,host_since,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy
1822,2012.0,0,1.0,1,1,East Downtown,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,12,180.0,2,50.0,2,1,15,43,73,348,29,0,strict
1823,2014.0,1,2.0,1,1,East Downtown,House,Entire home/apt,6,1.0,3.0,3.0,Real Bed,16,180.0,4,25.0,2,1,10,29,54,327,57,0,strict
1825,2012.0,0,3.0,1,1,East Downtown,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,12,99.0,2,15.0,1,1,12,42,72,347,93,0,strict
1827,2011.0,1,2.0,1,1,East Downtown,House,Entire home/apt,8,2.5,3.0,3.0,Real Bed,11,350.0,7,50.0,2,1,22,49,76,341,29,1,flexible
1828,2012.0,1,3.0,1,1,East Downtown,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,18,150.0,2,0.0,1,1,0,0,0,261,10,0,strict
1830,2014.0,0,1.0,1,1,East Downtown,House,Entire home/apt,8,3.5,3.0,3.0,Real Bed,18,400.0,1,0.0,3,1,0,6,6,16,0,0,flexible
1831,2011.0,1,2.0,1,1,East Downtown,House,Entire home/apt,8,2.5,3.0,4.0,Real Bed,16,375.0,6,50.0,2,1,19,31,61,322,62,1,moderate
1832,2015.0,0,1.0,1,0,East Downtown,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,15,150.0,2,15.0,1,1,2,19,20,43,4,0,moderate
1833,2011.0,0,3.0,1,1,Holly,House,Entire home/apt,4,1.5,1.0,2.0,Real Bed,16,150.0,2,20.0,1,1,29,59,89,364,0,0,strict
1834,2011.0,1,4.0,1,1,East Downtown,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,11,185.0,2,185.0,3,1,14,44,74,344,25,0,strict
1835,2011.0,1,1.0,1,1,East Downtown,House,Entire home/apt,10,2.0,3.0,5.0,Real Bed,17,700.0,1,0.0,3,1,0,9,9,239,3,0,strict
1837,2012.0,0,1.0,1,0,East Downtown,House,Entire home/apt,2,1.0,1.0,1.0,Pull-out Sofa,16,189.0,2,95.0,2,1,28,58,88,356,6,0,strict
1838,2015.0,0,1.0,1,0,East Downtown,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,10,160.0,1,0.0,2,1,6,32,62,331,0,0,flexible
1839,2015.0,0,1.0,1,1,East Downtown,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,15,275.0,1,0.0,1,1,0,0,0,13,0,0,flexible
1840,2013.0,0,2.0,1,0,East Downtown,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,19,899.0,1,0.0,2,1,0,0,0,231,0,0,flexible
1841,2014.0,1,1.0,1,1,Holly,House,Entire home/apt,8,2.0,3.0,4.0,Real Bed,16,198.0,5,45.0,2,1,12,27,49,131,37,0,strict
1842,2014.0,0,1.0,1,1,Govalle,House,Entire home/apt,6,1.0,3.0,3.0,Real Bed,12,300.0,6,50.0,2,1,28,58,88,363,2,0,strict
1843,2014.0,0,1.0,1,1,Rosewood,House,Entire home/apt,5,1.0,2.0,2.0,Real Bed,12,250.0,1,0.0,2,1,0,0,0,219,2,0,moderate
1844,2011.0,0,3.0,1,1,East Downtown,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,13,149.0,2,0.0,2,1,13,33,57,332,85,0,strict
1845,2012.0,0,1.0,1,1,Holly,House,Entire home/apt,6,2.0,4.0,3.0,Real Bed,16,350.0,1,0.0,4,1,0,0,0,149,2,0,strict
1846,2015.0,0,1.0,1,0,East Downtown,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,4,120.0,1,20.0,1,1,17,41,41,260,41,0,flexible
1847,2011.0,0,2.0,1,1,East Downtown,House,Entire home/apt,10,4.0,5.0,5.0,Real Bed,16,2400.0,1,0.0,1,1,0,0,0,104,0,0,strict
1849,2015.0,0,1.0,1,1,East Downtown,House,Entire home/apt,3,2.0,2.0,2.0,Real Bed,14,250.0,1,0.0,2,1,10,33,63,63,0,0,strict
1850,2013.0,0,1.0,1,1,Rosewood,House,Entire home/apt,8,2.5,3.0,3.0,Real Bed,14,749.0,1,0.0,3,1,30,60,90,365,0,0,moderate
1852,2015.0,0,1.0,1,1,East Downtown,House,Entire home/apt,6,2.5,3.0,3.0,Real Bed,13,195.0,1,0.0,2,1,28,57,87,361,1,0,flexible
1853,2013.0,0,1.0,1,0,East Downtown,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,14,100.0,1,20.0,2,1,0,0,0,189,26,0,strict
1854,2014.0,0,1.0,1,0,Rosewood,House,Entire home/apt,9,2.0,3.0,6.0,Real Bed,16,1000.0,1,0.0,3,1,30,60,90,365,0,1,moderate
1855,2011.0,1,2.0,1,1,Holly,House,Entire home/apt,6,1.0,2.0,3.0,Real Bed,14,649.0,1,0.0,3,1,0,5,35,310,1,1,moderate
1856,2013.0,0,1.0,1,1,Rosewood,House,Entire home/apt,4,1.5,2.0,2.0,Real Bed,15,300.0,1,0.0,1,1,10,22,52,327,0,0,moderate
1857,2014.0,0,2.0,1,1,East Downtown,House,Entire home/apt,5,1.0,2.0,2.0,Real Bed,13,180.0,2,40.0,2,1,22,45,75,151,10,1,flexible
1858,2015.0,0,301.0,1,1,East Downtown,House,Entire home/apt,8,3.5,3.0,4.0,Real Bed,15,499.0,1,0.0,2,1,25,55,85,343,1,0,strict
1859,2015.0,0,1.0,1,0,East Downtown,House,Entire home/apt,6,2.0,4.0,6.0,Real Bed,16,950.0,6,50.0,2,1,0,0,0,241,2,0,strict
1860,2013.0,0,1.0,1,1,East Downtown,House,Entire home/apt,10,2.0,3.0,8.0,Real Bed,23,263.0,6,35.0,2,1,14,41,69,335,40,1,strict
1861,2014.0,0,2.0,1,1,East Downtown,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,12,150.0,1,0.0,2,1,6,31,31,34,0,0,flexible
1862,2012.0,0,1.0,1,1,East Downtown,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,19,800.0,1,0.0,5,1,9,9,9,252,1,1,strict
1863,2015.0,1,1.0,1,1,East Downtown,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,13,200.0,3,100.0,1,1,27,57,87,356,16,0,flexible
1864,2013.0,0,2.0,1,0,East Downtown,House,Entire home/apt,15,2.0,4.0,6.0,Real Bed,11,600.0,8,25.0,1,1,22,52,82,351,9,0,strict
1865,2015.0,0,1.0,1,0,East Downtown,House,Entire home/apt,6,3.0,3.0,3.0,Real Bed,16,1090.0,1,0.0,2,1,30,60,90,358,0,0,strict
1866,2012.0,0,1.0,1,1,Holly,House,Entire home/apt,5,1.0,3.0,3.0,Real Bed,18,195.0,2,0.0,1,1,6,30,37,302,12,0,strict
1867,2014.0,0,8.0,1,1,Govalle,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,15,245.0,4,40.0,1,1,28,58,88,363,0,0,strict
1868,2013.0,0,1.0,1,1,Holly,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,15,100.0,1,0.0,1,1,16,41,71,346,5,0,moderate
