host_since,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy
2012.0,0,1.0,1,1,House,Entire home/apt,8,4.5,4.0,4.0,Real Bed,11,1250.0,10,0.0,3,1,30,60,90,365,6,0,strict
2015.0,0,1.0,1,0,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,15,250.0,1,0.0,2,1,26,53,83,358,1,1,strict
2014.0,0,1.0,1,0,Bed & Breakfast,Private room,6,1.0,1.0,2.0,Real Bed,18,300.0,1,0.0,1,1,30,60,90,365,0,0,flexible
2015.0,0,1.0,1,0,House,Entire home/apt,8,4.0,4.0,5.0,Real Bed,17,800.0,1,0.0,1,1,0,0,0,134,0,0,flexible
2012.0,1,2.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,26,85.0,2,25.0,2,1,25,42,72,341,9,1,strict
2014.0,0,1.0,1,0,House,Entire home/apt,8,4.0,4.0,5.0,Real Bed,16,600.0,1,0.0,2,1,21,51,81,356,0,0,moderate
2014.0,0,1.0,1,1,House,Entire home/apt,5,2.5,4.0,3.0,Real Bed,16,200.0,1,0.0,1,1,25,44,74,349,1,0,flexible
2014.0,0,1.0,1,1,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,21,1000.0,1,0.0,1,1,0,0,0,39,0,1,flexible
2012.0,0,14.0,1,0,House,Entire home/apt,16,6.0,6.0,9.0,Real Bed,20,1650.0,12,40.0,3,1,26,56,86,361,0,0,strict
2015.0,0,301.0,1,1,House,Entire home/apt,8,2.5,3.0,4.0,Real Bed,16,629.0,1,0.0,2,1,21,48,78,353,0,0,strict
2013.0,0,2.0,1,0,House,Entire home/apt,8,2.0,3.0,3.0,Real Bed,14,225.0,2,20.0,2,1,6,36,66,341,3,1,flexible
2015.0,0,301.0,1,1,House,Entire home/apt,8,3.0,3.0,4.0,Real Bed,16,469.0,1,0.0,2,1,15,32,62,323,1,0,strict
